1585,2018-12-29 06:40:20,neutral,RT @salihughes: The dog *may* have missed my kids while they were at their dad’s for Christmas. https://t.co/HG6mhamJZV
1585,2018-12-29 06:41:54,positive,"@vHarryStyles_ Awwww cute the dog!😍😜
Come on, I'm joking!
Beautiful you too!😍😍"
1585,2018-12-29 06:41:58,neutral,"RT @dotslondon: URGENT
We have just been called about a dog that has been found after witnessing being hit by a car. We have arranged trans…"
1585,2018-12-29 06:43:26,positive,"RT @prizedeck: Ends tonight at 10PM!

The Clever Cam to check on your pets when you're out &amp; about!

Follow &amp; RT for your chance to WIN a C…"
1586,2018-12-29 06:48:31,neutral,@YoungUrameshiII @YeahISa1dit Maybe another dog
1586,2018-12-29 06:48:50,positive,RT @Independent: CCTV shows moment dog is abandoned at side of road right before Christmas https://t.co/eWLewvUr2A
1586,2018-12-29 06:49:42,positive,Let's #help #beautiful #dog Alice and her #human mum get #funds to cover the agency #fee in order to move her from… https://t.co/PsFqYnPj5B
1587,2018-12-29 06:54:05,neutral,"RT @dotslondon: URGENT
We have just been called about a dog that has been found after witnessing being hit by a car. We have arranged trans…"
1588,2018-12-29 06:55:48,neutral,"RT @dotslondon: URGENT
We have just been called about a dog that has been found after witnessing being hit by a car. We have arranged trans…"
1588,2018-12-29 06:55:50,positive,"RT @DogsTrust: Mental stimulation is just as important as physical exercise, and your dog will be more relaxed if they have worked their br…"
1588,2018-12-29 06:55:50,positive,"RT @prizedeck: Ends tonight at 10PM!

The Clever Cam to check on your pets when you're out &amp; about!

Follow &amp; RT for your chance to WIN a C…"
1588,2018-12-29 06:58:14,neutral,RT @misteradam_: Had a guy peek into couple of cars last night at 3:05 then break into my neighbours mini Cooper. Guy has a white dog - Do…
1588,2018-12-29 06:58:32,positive,"D.O.G. Is a Dogs Best Friend with Hotel and Grooming Services: Fun Experiences Abound for Dogs, Including Services… https://t.co/nVtLhUn6VQ"
1589,2018-12-29 07:00:47,neutral,Dog horrifically injured after being 'fed' lit firework by group of children https://t.co/RASTlI8cK1… https://t.co/NpPmpgIi6p
