1009,2019-01-05 02:04:14,neutral,"@CielPhantom_Dog Oui, et bien, moi non plus je n'ai rien vu, alors que tout était devant moi !
... Je ne suis qu'un… https://t.co/wqUpUqbtGu"
1009,2019-01-05 02:05:13,neutral,RT @historylvrsclub: A dog and cat in Paris https://t.co/3K4ejORv6M
1009,2019-01-05 02:06:39,neutral,"RT @chamberlago: Two things
1) why does this Japanese plush toy of a dog/bread hybrid called 'Yeast Ken' exist

2) Somebody please get me a…"
1010,2019-01-05 02:08:24,negative,"RT @999London: #Barking 
Police are dealing with a serious assault where a man has sustained slash wounds to his face having been assaulted…"
1010,2019-01-05 02:08:25,negative,'My dog is an idiot' 😂😂 https://t.co/bj1fHW2hrs
1010,2019-01-05 02:08:40,positive,"RT @marketing_birds: ""Stop treating your dog like a trash can!""
 It's a really strong massage by Purina Dog Chow👏🏻 https://t.co/I7PEfEPwEW"
1010,2019-01-05 02:09:12,negative,I nearly wet myself at Naomi naming her dog Panini #AllStars4
1010,2019-01-05 02:11:32,neutral,"@CielPhantom_Dog *elle se laisse faire, toujours en contenant ses larmes* Oui... *elle parle plus bas, gênée* quand je pense qu'il m'a vu..."
1010,2019-01-05 02:12:24,neutral,RT @historylvrsclub: A dog and cat in Paris https://t.co/3K4ejORv6M
1011,2019-01-05 02:13:42,negative,RT @RaiMKai: I want a dog so bad https://t.co/WLTF67UVVz
1011,2019-01-05 02:14:15,negative,"RT @INCORRECTKRAYS: Brendan: hey how y’all—

Tommy: GRRRRRR GRRRRRRR 

Brendan: AHHHHHHH!!!!! GETCho FUCKING DOG, BITCH!!!!!! 

Paddy: it d…"
1011,2019-01-05 02:14:17,neutral,@CielPhantom_Dog *elle reste contre toi et aquiece de la tête*
1011,2019-01-05 02:16:28,neutral,RT @historylvrsclub: A dog and cat in Paris https://t.co/3K4ejORv6M
1011,2019-01-05 02:17:30,positive,RT @dotslondon: Nice morning video of street dog Miss B (springer x) having playtime with a couple of other dogs on site! Miss B was not ve…
1012,2019-01-05 02:18:10,positive,"RT @wedo_yoga: Win A 2019 Yoga Kitten Calendar &amp; Yoga Dog Book In Day 11! 

RT&amp;F for a chance to #win this super cute #yoga #kitten #calend…"
1012,2019-01-05 02:19:26,positive,"RT @FLOOF_uk: ❤️Our Frenchie in disguise is up for adoption❤️ 2 years old, neutered, loves big dog’s &amp; children.. can you offer her a lovin…"
1012,2019-01-05 02:20:10,neutral,Case Study of a Dog with a Spinal Condition – Part 1 of 4 by #RobynHarris #soulecting      https://t.co/xLNQ3fQZKo
