1153,2018-12-27 18:33:21,positive,@Schism_Schasm 1. Got my dog's teeth cleaned. 2. Took the rubbish out. 3. Led a successful workshop drawing politic… https://t.co/U4GQvdhugT
1153,2018-12-27 18:33:43,neutral,"RT @GMB: Thousands of people have offered to take in abandoned dog Snoop, after he was seen on CCTV being dumped on the roadside ❤️ https:/…"
1153,2018-12-27 18:34:06,neutral,Hundreds of people have offered to adopt a dog who was abandoned in just before Christmas https://t.co/d4dddarvar
1153,2018-12-27 18:34:50,positive,"RT @DogsTrust: Mental stimulation is just as important as physical exercise, and your dog will be more relaxed if they have worked their br…"
1153,2018-12-27 18:35:46,neutral,"RT @historylvrsclub: A dog with its pipe, 1875. https://t.co/yDbhYsf7ax"
1153,2018-12-27 18:36:28,neutral,RT @joesgallagher: Sergi Roberto's dog in a winter coat content alert https://t.co/gxhbZ4aROw
1153,2018-12-27 18:36:29,positive,Who could do that to such a cute looking dog shame on them. https://t.co/EEW9ajUBhi
1153,2018-12-27 18:36:36,positive,@PBaloo @Chappers2013 @vickilonglegs Pablo will be so pleased there’s another dog in the house 😂😂
1153,2018-12-27 18:36:42,positive,RT @NationalGallery: Heading out for a #BoxingDay walk? 'The Morning Walk' by Thomas Gainsborough shows an elegant young couple strolling t…
1153,2018-12-27 18:36:45,positive,"RT @prizedeck: How do you check your home when you're out &amp; about?

Follow &amp; RT for your chance to WIN a Clever Dog WIFI Camera!
Terms Appl…"
1153,2018-12-27 18:36:51,negative,"RT @GMB: There's been an outpouring of support for poor Snoop, who was captured on CCTV chasing his owner's car after they dumped him on th…"
1153,2018-12-27 18:36:56,positive,"RT @DogsTrust: It's double trouble at @DT_Darlington as these lovely boys, both named Bruno, are each looking for their own forever home.…"
1154,2018-12-27 18:38:27,positive,"@heysaaaam Oh bless him, he was the best and most photogenic dog."
1154,2018-12-27 18:39:28,positive,"In other news, we are having my daughter tested for dog allergy as she’s had no symptom for 2 yrs. if she’s ok we a… https://t.co/A1r3ywHMKZ"
1154,2018-12-27 18:40:26,positive,"This is my cousin's dog, Watson. Won scruffiest dog competition when noone else entered, but we're still proud of h… https://t.co/QvdvtLalwN"
1154,2018-12-27 18:40:37,negative,@amandarees9 Mustard would probably do the job but a bit messy and likely to invoke dog protest.
1154,2018-12-27 18:40:55,positive,"RT @prizedeck: How do you check your home when you're out &amp; about?

Follow &amp; RT for your chance to WIN a Clever Dog WIFI Camera!
Terms Appl…"
1154,2018-12-27 18:41:06,positive,"RT @will_i_am_s_: This is my cousin's dog, Watson. Won scruffiest dog competition when noone else entered, but we're still proud of his ros…"
1154,2018-12-27 18:41:17,positive,RT @Independent: CCTV shows moment dog is abandoned at side of road right before Christmas https://t.co/eWLewvUr2A
1154,2018-12-27 18:41:23,positive,"RT @DogsTrust: It's double trouble at @DT_Darlington as these lovely boys, both named Bruno, are each looking for their own forever home.…"
1154,2018-12-27 18:41:28,neutral,"RT @GMB: Thousands of people have offered to take in abandoned dog Snoop, after he was seen on CCTV being dumped on the roadside ❤️ https:/…"
1154,2018-12-27 18:42:14,negative,"RT @GMB: There's been an outpouring of support for poor Snoop, who was captured on CCTV chasing his owner's car after they dumped him on th…"
1154,2018-12-27 18:42:44,neutral,RT @BBCNews: Hundreds offer to rehome Snoop the abandoned dog https://t.co/88bD1unUnC
1154,2018-12-27 18:43:01,neutral,RT @JackDunc1: I need to find me a guy who looks at me the way my dog looks at gin. https://t.co/3WyoFlArTy
1155,2018-12-27 18:43:53,negative,"RT @bottrill: This is everyone who refers to themselves as broke (or even worse, ‘poor’) all year before going home to their parents house…"
1155,2018-12-27 18:44:10,negative,"Is that a veiled threat? I derrn't suffer fools, be all.  Aarrr! If ye want t' be stupid on me timeline expect t' b… https://t.co/CIl5o1cGAG"
1155,2018-12-27 18:44:24,neutral,A key point in this article for me is the distinction made between reporting on policy outcomes vs reporting on per… https://t.co/wm40Buim4L
1155,2018-12-27 18:45:05,negative,"People are going barking mad for our DOG-FRIENDLY screening of #MaryPoppinsReturns on Sunday, tickets going fast -&gt;… https://t.co/an4UhIZLKE"
1155,2018-12-27 18:45:17,neutral,"@PolygoniaSpec It never becomes a joyous experience...
 But the dog does 👍🏼"
